TEST 3: testing all combos of parameters by time
User Mode: 3 - Best Combos for time ranges

-----Time List Key: times_1_10m-----

entry time, volatility%, ratio, adx28, 14, 7, rsi_type, t1, t2, sl1, sl2

--- Top 10 results for time between 6:30:00 and whatever the interval is---
6) id: 6:40:00|0.0|0.5|0.0|0.0|0.0|either|0.2|0.9|-0.4|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
7) id: 6:40:00|0.0|0.5|0.0|0.0|0.0|either|0.3|0.9|-0.5|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
8) id: 6:40:00|0.0|0.5|0.0|0.0|0.0|either|0.3|0.9|-0.4|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
9) id: 6:40:00|0.0|0.7|0.0|0.0|0.0|either|0.2|0.9|-0.5|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
10) id: 6:40:00|0.0|0.7|0.0|0.0|0.0|either|0.2|0.9|-0.4|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0

--- Top 10 results for time between 6:50:00 and whatever the interval is---
1) id: 6:50:00|0.6|0.0|0.0|0.0|0.0|either|0.2|0.8|-0.5|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
2) id: 6:50:00|0.6|0.0|0.0|0.0|0.0|either|0.2|0.8|-0.4|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
3) id: 6:50:00|0.6|0.0|0.0|0.0|0.0|either|0.2|0.8|-0.3|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
4) id: 6:50:00|0.6|0.2|0.0|0.0|0.0|either|0.2|0.8|-0.5|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
5) id: 6:50:00|0.6|0.2|0.0|0.0|0.0|either|0.2|0.8|-0.4|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
6) id: 6:50:00|0.6|0.2|0.0|0.0|0.0|either|0.2|0.8|-0.3|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
7) id: 6:50:00|0.6|0.5|0.0|0.0|0.0|either|0.2|0.8|-0.5|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
8) id: 6:50:00|0.6|0.5|0.0|0.0|0.0|either|0.2|0.8|-0.4|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
9) id: 6:50:00|0.6|0.5|0.0|0.0|0.0|either|0.2|0.8|-0.3|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4
10) id: 6:50:00|0.6|0.7|0.0|0.0|0.0|either|0.2|0.8|-0.5|-0.2, sum: 6.80, count: 22, wins: 10, losses: 8, neither: 4

--- Top 10 results for time between 7:00:00 and whatever the interval is---
1) id: 7:00:00|0.0|0.0|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
2) id: 7:00:00|0.0|0.2|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
3) id: 7:00:00|0.0|0.5|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
4) id: 7:00:00|0.0|0.7|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
5) id: 7:00:00|0.0|0.8|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
6) id: 7:00:00|0.0|0.9|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
7) id: 7:00:00|0.3|0.0|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
8) id: 7:00:00|0.3|0.2|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
9) id: 7:00:00|0.3|0.5|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1
10) id: 7:00:00|0.3|0.7|0.0|0.0|0.0|either|0.5|0.9|-0.3|0.0, sum: 9.60, count: 21, wins: 12, losses: 8, neither: 1

--- Top 10 results for time between 7:10:00 and whatever the interval is---
1) id: 7:10:00|0.0|0.0|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.3, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
2) id: 7:10:00|0.0|0.0|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.2, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
3) id: 7:10:00|0.0|0.2|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.3, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
4) id: 7:10:00|0.0|0.2|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.2, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
5) id: 7:10:00|0.0|0.5|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.3, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
6) id: 7:10:00|0.0|0.5|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.2, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
7) id: 7:10:00|0.0|0.7|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.3, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
8) id: 7:10:00|0.0|0.7|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.2, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
9) id: 7:10:00|0.0|0.8|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.3, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3
10) id: 7:10:00|0.0|0.8|0.0|0.0|0.0|either|0.2|0.3|-0.5|-0.2, sum: 2.30, count: 15, wins: 11, losses: 1, neither: 3

--- Top 10 results for time between 7:20:00 and whatever the interval is---
1) id: 7:20:00|0.0|0.0|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
2) id: 7:20:00|0.0|0.2|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
3) id: 7:20:00|0.0|0.5|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
4) id: 7:20:00|0.0|0.7|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
5) id: 7:20:00|0.0|0.8|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
6) id: 7:20:00|0.3|0.0|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
7) id: 7:20:00|0.3|0.2|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
8) id: 7:20:00|0.3|0.5|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
9) id: 7:20:00|0.3|0.7|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2
10) id: 7:20:00|0.3|0.8|0.0|0.0|0.0|either|0.3|0.9|-0.3|-0.1, sum: 5.10, count: 14, wins: 7, losses: 5, neither: 2

--- Top 10 results for time between 7:30:00 and whatever the interval is---
1) id: 7:30:00|0.0|0.0|0.0|0.0|0.0|either|0.2|0.8|-0.5|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
2) id: 7:30:00|0.0|0.0|0.0|0.0|0.0|either|0.2|0.8|-0.4|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
3) id: 7:30:00|0.0|0.0|0.0|0.0|20.0|either|0.2|0.8|-0.5|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
4) id: 7:30:00|0.0|0.0|0.0|0.0|20.0|either|0.2|0.8|-0.4|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
5) id: 7:30:00|0.0|0.2|0.0|0.0|0.0|either|0.2|0.8|-0.5|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
6) id: 7:30:00|0.0|0.2|0.0|0.0|0.0|either|0.2|0.8|-0.4|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
7) id: 7:30:00|0.0|0.2|0.0|0.0|20.0|either|0.2|0.8|-0.5|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
8) id: 7:30:00|0.0|0.2|0.0|0.0|20.0|either|0.2|0.8|-0.4|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
9) id: 7:30:00|0.0|0.5|0.0|0.0|0.0|either|0.2|0.8|-0.5|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2
10) id: 7:30:00|0.0|0.5|0.0|0.0|0.0|either|0.2|0.8|-0.4|-0.3, sum: 9.90, count: 16, wins: 13, losses: 1, neither: 2

--- Top 10 results for time between 7:40:00 and whatever the interval is---
1) id: 7:40:00|0.0|0.9|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
2) id: 7:40:00|0.0|0.9|0.0|0.0|0.0|either|0.3|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
3) id: 7:40:00|0.0|0.9|0.0|0.0|20.0|either|0.2|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
4) id: 7:40:00|0.0|0.9|0.0|0.0|20.0|either|0.3|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
5) id: 7:40:00|0.3|0.9|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
6) id: 7:40:00|0.3|0.9|0.0|0.0|0.0|either|0.3|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
7) id: 7:40:00|0.3|0.9|0.0|0.0|20.0|either|0.2|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
8) id: 7:40:00|0.3|0.9|0.0|0.0|20.0|either|0.3|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
9) id: 7:40:00|0.4|0.9|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1
10) id: 7:40:00|0.4|0.9|0.0|0.0|0.0|either|0.3|0.6|-0.4|-0.3, sum: 3.80, count: 14, wins: 9, losses: 4, neither: 1

--- Top 10 results for time between 7:50:00 and whatever the interval is---
1) id: 7:50:00|0.0|0.0|0.0|20.0|0.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
2) id: 7:50:00|0.0|0.0|0.0|20.0|20.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
3) id: 7:50:00|0.0|0.2|0.0|20.0|0.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
4) id: 7:50:00|0.0|0.2|0.0|20.0|20.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
5) id: 7:50:00|0.0|0.5|0.0|20.0|0.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
6) id: 7:50:00|0.0|0.5|0.0|20.0|20.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
7) id: 7:50:00|0.0|0.7|0.0|20.0|0.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
8) id: 7:50:00|0.0|0.7|0.0|20.0|20.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
9) id: 7:50:00|0.0|0.8|0.0|20.0|0.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0
10) id: 7:50:00|0.0|0.8|0.0|20.0|20.0|either|0.3|0.9|-0.5|-0.1, sum: 3.80, count: 8, wins: 5, losses: 3, neither: 0

--- Top 10 results for time between 8:00:00 and whatever the interval is---
1) id: 8:00:00|0.0|0.0|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 52, wins: 19, losses: 24, neither: 9
2) id: 8:00:00|0.0|0.2|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 52, wins: 19, losses: 24, neither: 9
3) id: 8:00:00|0.0|0.5|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 52, wins: 19, losses: 24, neither: 9
4) id: 8:00:00|0.0|0.7|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 52, wins: 19, losses: 24, neither: 9
5) id: 8:00:00|0.0|0.8|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 52, wins: 19, losses: 24, neither: 9
6) id: 8:00:00|0.3|0.0|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 51, wins: 19, losses: 24, neither: 8
7) id: 8:00:00|0.3|0.2|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 51, wins: 19, losses: 24, neither: 8
8) id: 8:00:00|0.3|0.5|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 51, wins: 19, losses: 24, neither: 8
9) id: 8:00:00|0.3|0.7|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 51, wins: 19, losses: 24, neither: 8
10) id: 8:00:00|0.3|0.8|0.0|0.0|0.0|either|0.4|0.9|-0.5|-0.1, sum: 9.80, count: 51, wins: 19, losses: 24, neither: 8

--- Top 10 results for time between 8:30:00 and whatever the interval is---
1) id: 8:30:00|0.0|0.0|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
2) id: 8:30:00|0.0|0.2|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
3) id: 8:30:00|0.0|0.5|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
4) id: 8:30:00|0.0|0.7|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
5) id: 8:30:00|0.0|0.8|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
6) id: 8:30:00|0.3|0.0|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
7) id: 8:30:00|0.3|0.2|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
8) id: 8:30:00|0.3|0.5|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
9) id: 8:30:00|0.3|0.7|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2
10) id: 8:30:00|0.3|0.8|0.0|0.0|0.0|either|0.2|0.6|-0.4|-0.3, sum: 3.30, count: 14, wins: 8, losses: 4, neither: 2

--- Top 10 results for time between 8:40:00 and whatever the interval is---
1) id: 8:40:00|0.0|0.0|0.0|0.0|20.0|either|0.4|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
2) id: 8:40:00|0.0|0.0|0.0|0.0|20.0|either|0.5|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
3) id: 8:40:00|0.0|0.2|0.0|0.0|20.0|either|0.4|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
4) id: 8:40:00|0.0|0.2|0.0|0.0|20.0|either|0.5|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
5) id: 8:40:00|0.0|0.5|0.0|0.0|20.0|either|0.4|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
6) id: 8:40:00|0.0|0.5|0.0|0.0|20.0|either|0.5|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
7) id: 8:40:00|0.0|0.7|0.0|0.0|20.0|either|0.4|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
8) id: 8:40:00|0.0|0.7|0.0|0.0|20.0|either|0.5|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
9) id: 8:40:00|0.0|0.8|0.0|0.0|20.0|either|0.4|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4
10) id: 8:40:00|0.0|0.8|0.0|0.0|20.0|either|0.5|0.9|-0.4|-0.3, sum: 5.80, count: 13, wins: 7, losses: 2, neither: 4

--- Top 10 results for time between 8:50:00 and whatever the interval is---
1) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.2|0.9|-0.4|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
2) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.2|0.9|-0.3|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
3) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.3|0.9|-0.4|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
4) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.3|0.9|-0.3|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
5) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.4|0.9|-0.4|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
6) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.4|0.9|-0.3|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
7) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.5|0.9|-0.4|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
8) id: 8:50:00|0.0|0.0|0.0|0.0|30.0|either|0.5|0.9|-0.3|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
9) id: 8:50:00|0.0|0.2|0.0|0.0|30.0|either|0.2|0.9|-0.4|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
10) id: 8:50:00|0.0|0.2|0.0|0.0|30.0|either|0.2|0.9|-0.3|-0.2, sum: 3.00, count: 6, wins: 4, losses: 2, neither: 0
